"","总楼层","小区参考均价","绿化率","容积率","总楼栋数","房龄","客厅数","卫生间数","残差"
"86",16,13042,0.15,3.2,1,19,2,1,0.165701203806515
"87",33,16274,0.4,3,25,8,1,1,-0.0479701234443567
"88",28,11085,0.19,2.6,2,18,2,2,0.120806781805533
"89",16,18825,0.47,2.73,51,14,2,1,0.00662152484342622
"90",32,13882,0.4,3.89,22,10,1,1,-0.0943271919723348
"91",18,20294,0.43,2.8,10,12,2,2,-0.0257009898069717
"92",14,9033,0.35,4.1,4,24,2,2,-0.309133092400184
"93",33,10541,0.3,5.9,1,12,1,1,0.0398750639416907
"94",33,15394,0.38,5,9,9,1,1,0.133840620048323
"95",22,14437,0.35,3.3,11,13,2,1,0.166480984351113
"96",26,17527,0.42,2.53,40,10,2,2,-0.140927204429371
"97",32,13607,0.3,8,2,9,1,2,-0.0295730702456535
"98",32,13882,0.4,3.89,22,10,2,1,-0.137438840728023
"99",28,11932,0.4,3.5,2,14,2,2,0.0276253962927289
"100",33,14545,0.396,5.25,12,10,2,2,0.0141003034739754
"101",16,18825,0.47,2.73,51,14,2,2,0.0481728642774444
"102",32,13882,0.4,3.89,22,10,2,1,-0.102716471879041
"103",18,14437,0.35,3.3,11,13,1,2,0.095718939605341
"104",34,12395,0.35,4,15,8,2,2,-0.258753921868557
"105",30,12378,0.35,5.5,4,14,1,1,0.0397935914702349
"106",26,17527,0.42,2.53,40,10,2,2,-0.140927204429371
"107",26,17527,0.42,2.53,40,10,1,1,0.0124203455136497
"108",18,18825,0.47,2.73,51,14,1,1,-0.078500670634983
"109",12,15295,0.447,1.53,15,20,3,2,-0.0597559159471782
"110",23,9126,0.2,2,1,17,2,2,0.000257203159067652
"111",18,13459,0.48,3.23,14,15,2,1,-0.173346246354543
"112",26,17527,0.42,2.53,40,10,2,1,0.118351696026116
"113",26,12032,0.42,3.6,21,18,1,1,0.138884036081437
"114",18,17527,0.42,2.53,40,10,2,2,0.0360200699595942
"115",26,17527,0.42,2.53,40,10,2,1,0.118351696026116
"116",32,13882,0.4,3.89,22,10,1,1,-0.0800000877367336
"117",25,13882,0.4,3.89,22,10,2,1,-0.141367943507606
"118",18,20294,0.43,2.8,10,12,2,2,0.0552291418598946
"119",32,13882,0.4,3.89,22,10,1,1,-0.0617629419011117
"120",33,15394,0.38,5,9,9,1,1,0.189280264282451
"121",32,13532,0.45,4,21,8,1,2,0.0173590857150997
"122",28,11085,0.19,2.6,2,18,2,2,0.120806781805533
"123",6,13454,0.45,2.3,6,17,2,2,-0.105577493570364
"124",34,21560,0.4,2.8,17,3,2,2,0.015075622200093
"125",34,21560,0.4,2.8,17,3,2,2,-0.0591988125058839
"126",12,15295,0.447,1.53,15,20,2,2,-0.0679369035459583
"127",34,21560,0.4,2.8,17,3,2,2,-0.0591988125058839
"128",26,17527,0.42,2.53,40,10,2,1,0.161507889877072
"129",33,21560,0.4,2.8,17,3,2,2,-0.117375640738813
"130",32,14437,0.35,3.3,11,13,1,2,0.0403527174072129
"131",7,13123,0.2,3.3,42,21,2,2,-0.180577044017129
"132",33,16211,0.425,4.37,9,7,2,2,-0.075678082043114
"133",33,15394,0.38,5,9,9,2,2,0.177958351112888
"134",32,13882,0.4,3.89,22,10,1,1,-0.131609885459859
"135",33,18825,0.47,2.73,51,14,1,1,-0.0118602505583079
"136",33,16211,0.425,4.37,9,7,1,1,-0.0181643512364155
"137",33,14098,0.35,3.5,18,6,2,1,0.300489741905959
"138",32,16728,0.5,2.9,8,8,1,1,0.0830407853926074
"139",25,14570,0.4,3.6,13,8,1,1,0.126558154878167
"140",18,13459,0.48,3.23,14,15,2,1,-0.0407073125130397
"141",33,14545,0.396,5.25,12,10,2,2,0.0442083061071138
"142",18,18825,0.47,2.73,51,14,2,2,0.0833970802702467
"143",33,16211,0.425,4.37,9,7,1,1,0.0299823074522375
"144",26,18116,0.4,3,6,13,2,2,-0.00148330312121952
"145",33,16211,0.425,4.37,9,7,2,2,-0.075678082043114
"146",33,15394,0.38,5,9,9,1,1,0.142804169543449
"147",26,17527,0.42,2.53,40,10,2,1,0.0523120803215585
"148",32,15658,0.53,3.4,14,7,2,1,-0.0334575447030564
"149",33,14093,0.3,6.7,2,10,2,1,0.00745181124263014
"150",18,20294,0.43,2.8,10,12,1,2,-0.0855166674342891
